1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89
30.03.2015 13:57;Русская;;;;;;;;;;;;;Русский;Русская;2;32;2;Эстония;4;1;;4;;2;;4;эстонский;1;;2;1;2;;Нет;1;1;;;;;;;;5;;1;;2;1;4;2;7;3;3;3;4;3;2;4;2;4;3;2;3;2;2;1;4;6;6;1;проофесия;3;1;3;3;3;5;5;2;2;;Нет;;Нет;Эстония;Россия
30.03.2015 14:38;Русской;3;3;4;4;3;4;4;3;3;3;4;3;Русский;Русская;2;35;2;Горький, СССР;11;4;Замужесто;4;;5;;;;1;;1;1;1;2;Да;1;1;;;;;;;;5;;9;;2;2;1;1;7;1;4;4;4;3;3;5;3;3;3;3;3;3;3;7;5;7;5;;;4;3;3;3;3;1;1;3;2;;Нет;Достаточно успешна;Скорее нет.;Испания;Швеция
30.03.2015 16:12;;2;1;3;3;3;3;3;3;3;2;2;3;Русский;Русская;2;45;2;Ленинград, СССР;22;4;вышла замуж за финна.;5;;4;;;;1;;1;1;1;1;Достаточно. Но я его всё время развиваю.;1;1;;;;;;;;5;;1;;2;3;6;1;8;3;4;2;3;2;4;5;3;2;3;1;3;4;2;1;5;3;6;;;2;4;3;2;3;1;2;2;1;Всё очень индивидуально. Кто-то чувствует себя свободно, а кто-то как не у себя дома....у;У финнов и русских разный менталитет. Образ мыслей разный и восприятие жизни разное. Каждый по своему прав и радуется жизни по своему.;Опять же зависит от человека. Кто-то так и не может найти себя за границей. Зависит от занятий, работы, окружения. У меня несколько знакомых русских в Финляндии. Все очень довольны своим положением.;Я от политики очень далека. На выборы, правда хожу. Но я не из тех кто может повлиять на общество.;Финляндия, теперь уже менять стала бы.;Япония, нахожусь здесь в длительной командировке, понравилось.
30.03.2015 17:34;russkoj;4;4;3;3;3;3;3;2;3;4;4;4;russkij;ukrainka;2;42;2;turku;22;3;;4;;;3;;;1;;1;1;1;2;da;8;1;2;;;;;;;3;;1;;2;1;3;2;10;4;3;4;4;3;4;5;1;2;5;1;3;3;3;7;3;5;1;;;1;1;2;2;2;2;2;2;2;;raznyj mentalitet.finny bolee sderzany bo vsem.druzej finnov za 22goda-troe;v hastojastee vrema vse gorazdo proshe,ctem v 90-ye;ne sovsem.Politikoj interesujusj possredstvenno,neaktivno;v avstriju;vo franziju
30.03.2015 21:21;Русской;2;3;4;2;3;3;3;1;2;1;2;2;Русский;Русская;2;33;2;Россия;10;4;брак;5;1;5;3;1;;1;;1;1;1;1;Да;1;1;;;;;;;;5;;3;;3;3;2;1;9;3;3;4;4;3;4;4;2;1;2;2;5;4;5;2;1;;3;;;4;3;4;1;2;1;1;2;1;;В основном, да;Достаточно успешной для тех нефиннов, которые имели желание интегрироваться;;Ни в какую;
30.03.2015 21:26;Украинка(по духу и крови)/финка (гражданство);4;4;4;2;4;3;3;4;4;4;4;4;Украинец;Украинка;2;33;2;Киев, Украина;7;4;Муж финн;5;1;4;2;5;Украинский, русский;3;Украинский;1;1;1;1;Да;1;1;;;;;;;;5;;2;;2;1;6;1;9;4;4;4;4;4;4;5;1;1;4;1;1;6;6;7;5;4;2;7;Старательность и упорство;3;2;3;2;2;1;1;2;1;У финнов небольшое преимущество;Не во всем. Славянская душа отличается теплотой, близостью с семьей, уровнем сферы чувств, разговорчивостью и открытостью;Все зависит от индивидуума. Финляндия-страна без коррупции, страна больших возможностей для упрямых и верящих в себя;"Есть возможность влиять на события на уровне ""народа""; к тебе прислушиваются";Герман я;Швеция
30.03.2015 21:53;русская финка;2;2;3;2;3;4;3;2;3;3;2;3;русский;русская;2;34;2;Санкт-Петербург;23;4;Отец ингермалайнец, перехали по его желанию на его родину;5;3;4;2;;;1;;1;1;1;1;да;4;1;;;;;;;;5;;1;;2;2;5;1;9;4;4;4;4;4;4;5;1;1;5;1;1;4;5;2;3;6;1;7;внешний вид;2;3;3;2;3;2;2;2;1;Финны всегда были финами и нефины всегда бедет для них инностранцами. Хотя много говорят о интернациональзме и ценят знания профессионалов.;Пунктуальность, честность и держание слова. На финнов можно понадеяться.;Потихоньку привыкают но сложно. Они ценят что бы говорили хорошо по фински без акцента и чтобы было финское образование.;Да, я гражданка Финляндии и у меня есть право на слово.;Финляндия;Шведция
30.03.2015 22:24;русской ,финкой(инкери);2;2;4;2;4;3;3;2;4;3;4;4;финн (инкери);финка(инкери);2;42;3;Ленинградская область ,СССР;6 лет;4;возвращение на историческую родину;4;;2;;;;1;;2;2;2;3;;4;1;;;;;;;;3;;1;;2;3;2;2;8;3;4;4;4;3;4;5;3;4;3;1;3;6;5;1;3;4;2;;;3;3;4;2;3;2;1;1;1;;;;;;
31.03.2015 8:18;русская/карелка;2;2;3;2;2;3;3;2;2;2;2;2;карел;русская;2;39;2;Карелия, Медвежьегорский р-н;15;4;программа реэмиграции ингерманландцев, со стороны мужа;5;1;2;1;;;1;;1;1;1;1;да;4;1;;;;;;;;3;;1;;2;6;4;3;3;2;4;4;4;1;4;2;4;3;2;3;5;3;5;1;4;2;6;7;;4;3;4;3;4;3;4;2;2;неравное;нет, разные приоритеты;затрудняюсь ответить;затрудняюсь ответить;швеция;испания
31.03.2015 10:11;Русской;3;3;4;4;4;4;4;3;4;3;4;4;Русский;Русская;2;52;4;Ленинград;14;3;;5;3;4;2;3;Датский;1;;1;1;1;1;Да;6;1;;;;;;;;6;незаконченное высшее;9;;2;3;1;2;8;5;4;3;3;3;3;5;3;2;5;1;2;2;1;5;4;3;6;7;Работа в Финляндии, соответствующая образованию;1;1;1;2;1;2;2;5;1;Положение финнов естественно лучше благодаря образованию, полученному в Финляндии, родному языку и финскому образу мыслей.;Не похож, т.к. у нас разное воспитание, образование и стереотип мышления.;Достаточно благополучной, если сами нефинны были в этом заинтересованы.;Считаю, т.к. имею финское гражданство и все права, которые есть у финнов.;Испания;Дания
31.03.2015 11:02;Русской;3;2;3;1;3;3;3;1;2;3;3;3;русский;руский;2;46;3;Архангельск;15 лет;1;;4;1;4;1;;;1;;1;1;1;2;Достаточно;1;1;;;;;;;;5;;1;;2;1;6;1;9;4;4;3;4;3;4;5;1;1;5;1;3;2;3;6;1;4;5;7;высокий профессионализм, позволяющий конкурировать с финнами;2;2;4;5;5;1;5;1;1;;Похож. Я разделяю убеждения, что женщина сама должна обеспечивать себя, оплачивать свои счета, что нет деления на женские и мужские обязанности, что геи и лесбиянки тоже люди и имеют права создать семью и воспитывать детей, что нужно следить за своим здоровьем, правильно питаться, заниматься физкультурой.;Довольно успешная.;Считаю. Имею избирательные права, как и все финны.;Канарские острова, Испания (на пенсии, наверно).;
31.03.2015 14:52;Просто человеком.,иностранцем;4;4;1;1;1;1;1;1;3;3;1;4;Русский;Русская;2;39;2;Астрахань Советский союз;4;3;;4;;3;;5;украинский;1;;1;1;1;2;Всегда надо развивать и учить..;1;1;;;;;;;;3;;5;;2;6;;2;9;3;4;4;4;3;4;5;1;1;5;1;1;3;7;5;3;1;5;;;1;2;2;1;5;2;1;1;1;Одинаковое;Да.Вежливость,отзывчивость,надежность,спокойствие,дружелюбие,честность,любознательность.;"Успешна..Все зависит от ""нефина"" иностранца.";Да.Законы соблюдаются.;Швеция;Норвегия
01.04.2015 8:50;ven?l?inen;2;2;3;2;3;3;3;2;3;3;3;3;ven?l?inen;inkerilainen;2;37;2;Viro, Tallinna;22;4;paluumuutto, ?idill?ni on suomalaiset sukujuuret;5;1;4;1;3;viro;1;;1;1;1;1;vpolne;1;1;;;;;;;;5;;1;;2;3;5;2;5;4;4;3;3;2;3;4;1;3;5;1;1;1;5;7;7;7;1;7;ostavat'sja samim soboi v pervuju ochered', k okruzajushim tebja ljudjam otnositsja po chelovecheski, s ponimaniem i s uvazeniem, i togda ljudi sami k tebe potjanutsja i v trudnoi dlja tebja situacii vsegda pridut na pomosh', nastojashie, korennie finni smotrjat v glub' cheloveka i cenjat ego natural'nost' i  individual'nost';1;2;2;2;5;1;1;2;1;ne zametila osoboi raznici;Chastichno v obraze zizni, naschet mislei somnevajus' gluboko;Eto bol'she zavisit ot ljudei, ot ih zelanija i motivacii integrirovat'sja v finnskoe obshestvo. A gosudarstvennih programm  mne kazetsja dostatochno dlja etogo delaetsja.;Naverno bol'she da, chem net;Saksa;Italia
04.04.2015 15:23;русская;3;1;3;3;3;3;3;3;2;2;2;3;русский;инкери;2;45 лет;2;Выборг;18 лет;4;замужество;4;3;;;;;1;;1;1;1;2;нет;1;1;;;;;6;;;6;технический вуз инженер;1;;3;6;1;3;4;1;2;3;4;2;2;2;3;3;3;3;3;6;6;6;2;5;4;;;4;4;4;4;4;4;4;4;4;Финны хотят улучшить экономическую ситуацию в стране за счёт эмигрантов;Нет.;ассимиляция;Нет. Наш регион экономически зависим.;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1 = 1. Решительно не согласны;;;;;;;;;;;;;;1 = Мужчина;;1 = 1. Никогда не были замужем/женаты;;;1 = 1. Работа;;1 = Вообще не владею;;;;;;1 = 1. Русский;;1 = Хорошо;;;;;1 = Православие;1 = 1. Школа с финским языком обучения;;;;;;;;1 = 1. Основное или неполное среднее;;1 = 1. Наёмный работник;;1 = Высокий;1 = 1. Значительно лучше;1 = 1. 500,00 - 1000 евро;1 = 1. Живу/живем хорошо при таком уровне дохода;1 = 1;1 = Совершенно не удовлетворен;;;;;;1 = 1;;;;;;1 = 1;;;;;;;;1 = В основном да;;;;;;;;;;;;;;
;;2 = 2.Не согласен(а);;;;;;;;;;;;;;2 = Женщина;;2 = 2. Женаты/замужем;;;2 = 2. Учеба;;2 = Немного понимаю, но не говорю;;;;;;2 = 2. Финский;;2 = Средне;;;;;2 = Католицизм;2 = 2. В классе с языковым погружением;;;;;;;;2 = 2. Профессиональное училище, не дающее законченного среднего образования (ПТУ, ремесленное училище);;2 = 2. Работодатель (владелец частной фирмы);;2 = Средний;2 = 2. Несколько лучше;2 = 2. 1000,00 - 1500,00 евро;2 = 2. Справляемся при таком уровне дохода;2 = 2;2 = Не очень удовлетворен;;;;;;2 = 2;;;;;;2 = 2;;;;;;;;2 = Чаще да;;;;;;;;;;;;;;
;;3 = 3.Согласен(а);;;;;;;;;;;;;;;;3 = 3. Живёте вместе, но не зарегистрированы;;;3 = 3. Переезд к родственникам;;3 = Немного понимаю и немного говорю;;;;;;3 = 3. Другой (укажите);;3 = Немного;;;;;3 = Протестантизм;3 = 3. Русская школа, где часть предметов преподается на финском языке;;;;;;;;3 = 3. Профессиональное училище, дающее среднее образование (СПТУ, техникум);;3 = 3. Одиночный предприниматель (сам себе работодатель);;3 = Низкий;3 = 3. Примерно такое же;3 = 3. 1500,00 - 2000 евро;3 = 3. Сложно справиться при таком уровне дохода;3 = 3;3 = Скорее удовлетворен;;;;;;3 = 3;;;;;;3 = 3;;;;;;;;3 = Чаще нет;;;;;;;;;;;;;;
;;4 = 4. Полностью согласен(а);;;;;;;;;;;;;;;;4 = 4. Есть постоянный партнёр, но не живёте вместе;;;4 = 4. Другое (укажите);;4 = Понимаю, говорю и пишу;;;;;;;;4 = Совсем нет;;;;;4 = Лютеранство;4 = 4. Русская школа, где часть предметов преподается на финском языке (двуязычная гимназия);;;;;;;;4 = 4. Среднее образование (обычная средняя школа);;4 = 4. Работающий пенсионер;;;4 = 4. Несколько хуже;4 = 4. 2000 евро - 2500 евро;4 = 4. Очень сложно справиться при таком уровне дохода;4 = 4;4 = Полностью удовлетворен;;;;;;4 = 4;;;;;;4 = 4;;;;;;;;4 = В основном нет;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;5 = 5. Разведены/ живёте отдельно;;;;;5 = Владею свободно;;;;;;;;;;;;;5 = Ислам;5 = 5. Частная гимназия с русским языком обучения;;;;;;;;5 = 5. Высшее образование, научная степень;;5 = 5. Студент, учащийся, который и учится, и работает;;;5 = 5. Значительно хуже;5 = 5. 2500 евро – 3000 евро;;5 = 5;5 = Затрудняюсь ответить;;;;;;5 = 5;;;;;;5 = 5;;;;;;;;5 = Затрудняюсь ответить;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;6 = 6. Вдовец/вдова;;;;;;;;;;;;;;;;;;6 = Буддизм, восточные религии;6 = 6. Школа, где преподавание целиком на иностранном языке;;;;;;;;6 = 6. Другое. Запишите;;6 = 6. Неработающий пенсионер;;;6 = 6. Затрудняюсь ответить;6 = 6. Более 3000 евро;;6 = 6;;;;;;;;;;;;;6 = 6;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7 = Иудаизм;7 = 7. Не учатся на этом уровне;;;;;;;;;;7 = 7. Неработающий студент, учащийся;;;;;;7 = 7;;;;;;;;;;;;;7 = 7;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8 = Атеизм;8 = 8. Затрудняюсь ответить;;;;;;;;;;8 = 8. Безработный, не получающий пособия по безработице;;;;;;8 = 8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9 = Иное;;;;;;;;;;;9 = 9. Безработный, получающий пособие по безработице;;;;;;9 = 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10 = 10. Домохозяйка;;;;;;10 = 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11 = 11. Другое. Запишите:;;;;;;11 = 11 Затрудняюсь ответить;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
